clip_id,raw_answer,predicted,ground_truth
9289010118.avi,"Expression: The student appears to be focused and attentive, with a neutral facial expression.
Posture: The student is sitting upright in front of the computer screen.
Rating: 2",2,3
9403280234.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
907001480.mp4,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly contemplative expression.
Posture: The student is sitting at a desk in front of a computer screen, which suggests they are focused on the content being displayed.
Rating: 2 - The student seems to be engaged but not highly engaged, as their attention appears to be directed away from the camera and towards something else.",2,1
5100401078.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5100342048.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly distracted expression.
Posture: The student is sitting in front of a computer screen, leaning forward slightly with their arms resting on the desk.
Rating: 2",2,1
8264120275.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly disinterested expression.
Posture: The student is sitting in front of the camera, but their body posture is not clearly visible due to the angle of the photo.
Rating: 1 [Based on the limited information available, it's difficult to accurately assess engagement level without more context.]",1,3
5100471023.avi,"Expression: The student appears to be deep in thought, with a contemplative or pondering expression.
Posture: The student is sitting upright at a desk, with their hand on their chin, suggesting they are focused and engaged in the content of the video.
Rating: 3 [The student's posture and facial expression indicate a high level of engagement.]",3,2
5100462023.avi,"Expression: The student appears to be making a funny face, possibly smirking or grimacing.
Posture: The student is sitting with their head slightly tilted and looking directly at the camera.
Rating: 2",2,2
5100462031.avi,"Expression: The student appears to be making a funny face, possibly smirking or grimacing.
Posture: The student is sitting with their head slightly tilted and looking directly at the camera.
Rating: 2",2,2
5000951033.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5100401071.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
907001560.mp4,"Expression: The student appears to be making a funny or sarcastic face, with a slight smirk and raised eyebrow.
Posture: The student is sitting at a desk in front of a computer screen, leaning slightly forward with their chin resting on their hand.
Rating: 2 [The student seems to be engaged but not highly engaged, as they are making a funny face which could indicate a lack of focus or interest in the educational video.]",2,2
5100472014.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
8264120266.avi,"Expression: The student appears to be looking down and has a neutral expression.
Posture: The student is sitting with their hands clasped together in front of them, which could suggest they are deep in thought or focused on the content.
Rating: 2",2,1
5000952036.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5100351002.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly contemplative expression.
Posture: The student is sitting in front of a computer screen, possibly listening to an audio source, with their head turned towards the side.
Rating: 2",2,1
5000671042.avi,"Expression: The student appears to be focused and attentive, with a neutral facial expression.
Posture: The student is sitting in front of the camera, likely at a desk or table, with their hands resting on their lap.
Rating: 2",2,1
5100422060.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting in front of a wall with posters, wearing headphones and has his hands resting on a surface.
Rating: 2",2,2
5100381004.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting in front of the camera, possibly on a chair or couch, with their arms resting by their sides.
Rating: 2 [Based on the image, it's difficult to determine the level of engagement without more context about the student's actions and reactions during the video.]",2,2
5000442019.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5100462011.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly contemplative expression.
Posture: The student is sitting in front of a wall with posters on it, possibly in a bedroom or dorm room setting.
Rating: 2 - The student seems to be engaged but not highly focused on the content they are watching.",2,3
5100452049.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
5100342036.avi,"Expression: The student appears to be bored or disinterested, with a slight frown and a hand on their chin.
Posture: The student is sitting in front of the camera with one arm resting on their head.
Rating: 1",1,1
5100461007.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting in front of a wall with posters, and they are wearing headphones.
Rating: 2",2,1
9877360140.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly distracted expression.
Posture: The student is sitting in front of a computer screen, possibly at a desk, with their body facing forward but not fully engaged.
Rating: 1",1,3
5100462032.avi,"Expression: The student appears to be making a funny face, possibly smirking or grimacing.
Posture: The student is sitting with their head tilted slightly to the side and looking directly at the camera.
Rating: 2",2,2
5100401023.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral expression.
Posture: The student is sitting in front of a computer screen, possibly listening to an audio source, but their body posture does not provide enough information to make a confident assessment.
Rating: 2 [Based on the limited visual information available, it's difficult to accurately assess the student's engagement level.]",2,1
5100351039.avi,"Expression: The student appears to be drowsy or sleepy.
Posture: The student is sitting with their head down, possibly resting on their hand.
Rating: 1",1,3
5000671041.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral expression.
Posture: The student is sitting in front of a computer or laptop, with their arms resting on their legs.
Rating: 2",2,1
5100362028.avi,"Expression: The student appears to be focused and attentive.
Posture: The student is sitting upright with a straight back, indicating an alert posture.
Rating: 2",2,3
5100451041.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
5100371024.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
8264120268.avi,"Expression: The student appears to be looking down and has a neutral expression.
Posture: The student is sitting with their hands on their chin, which could indicate contemplation or boredom.
Rating: 2",2,3
8264120231.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly contemplative expression.
Posture: The student is sitting in front of a computer screen, leaning forward slightly.
Rating: 2",2,1
826412013.avi,"Expression: The student appears to be smiling and looking directly at the camera, which could indicate engagement or interest in the content.
Posture: The student is sitting with their arms crossed, which might suggest a relaxed posture but not necessarily high engagement.
Rating: 2",2,1
5100462012.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral or slightly contemplative expression.
Posture: The student is sitting in front of a computer screen, possibly listening to an audio source, but their body posture does not provide enough information to accurately assess engagement level.
Rating: 2 [Based on the limited visual information available, it's difficult to accurately rate the student's engagement level.]",2,2
5100452016.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,1
5100402001.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral expression.
Posture: The student is sitting in front of a computer screen, wearing headphones, and has their hands resting on their lap or arms crossed.
Rating: 2",2,1
5000952083.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,1
8264120123.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting upright in a chair, with their arms resting on the table or desk.
Rating: 2 [Based on the image, it seems like the student is engaged but not highly engaged, as they are looking directly at the camera and maintaining an upright posture.]",2,1
8264120284.avi,"Expression: The student appears to be in a state of confusion or frustration, with their hand on their head and a concerned look.
Posture: They are sitting down, leaning slightly forward with their elbow on the table.
Rating: 2",2,1
9289010115.avi,"Expression: The student appears to be focused and attentive.
Posture: The student is sitting upright with a neutral posture.
Rating: 2",2,3
5100091069.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting upright in front of a red door, possibly in a classroom or study area.
Rating: 2 - The student seems to be engaged but not highly focused on the content being displayed.",2,3
5100381017.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral expression.
Posture: The student is sitting in front of a laptop or computer screen, which is not visible in the image.
Rating: 2",2,2
5100422041.avi,"Expression: The student appears to be looking directly at the camera with a neutral expression.
Posture: The student is sitting in front of a desk, leaning slightly forward with their arms resting on the table.
Rating: 2",2,2
5100402020.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000951067.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral expression.
Posture: The student is sitting in front of a wall with a light on behind them.
Rating: 2",2,2
5100091051.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
9289010274.avi,"Expression: The student appears to be focused and attentive, with a slight smile.
Posture: The student is sitting upright in front of the computer screen.
Rating: 2",2,3
5100091059.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5100092057.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000671057.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5100092071.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
987736024.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral expression.
Posture: The student is sitting in front of a desk or table, possibly at a computer or workstation.
Rating: 2",2,2
9877360241.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral expression.
Posture: The student is sitting in an office chair at a desk, facing the camera but not directly engaging with it.
Rating: 1",1,3
5100091049.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,1
9877360143.avi,"Expression: The student appears to be looking down and away from the camera, with a neutral expression.
Posture: The student is sitting in an office chair at a desk, facing the camera but not directly engaging with it.
Rating: 1",1,3
5000671033.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
8264120120.avi,"Expression: The student appears to be focused and attentive, with a neutral facial expression.
Posture: The student is sitting upright in front of the screen.
Rating: 2",2,1
8264120239.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral or possibly contemplative expression.
Posture: The student is seated in front of a computer screen, which suggests they are focused on the content being displayed.
Rating: 2 - The student seems to be engaged but not highly engaged, as their attention appears to be directed away from the camera and towards something else.",2,1
8264120211.avi,"Expression: The student appears to be looking down and has a neutral expression.
Posture: The student is sitting with their head slightly tilted downwards, which could indicate a lack of engagement or concentration.
Rating: 1",1,1
88265402200.mp4,"Expression: The student appears to be making a funny face, possibly smirking or rolling their eyes.
Posture: They are sitting in front of the camera with one hand on their chin and the other arm resting on the table.
Rating: 2 - The student seems to be somewhat engaged but not fully focused on the content of the video.",2,3
5000952046.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
9877360120.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in their chair, facing the camera.
Rating: 2",2,1
9289010152.avi,"Expression: The student appears to be focused and attentive, with a slight smile.
Posture: The student is sitting upright in front of the computer screen.
Rating: 2",2,1
5000671005.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
88265402340.mp4,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the computer screen.
Rating: 2",2,2
9403280229.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
5000441024.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,1
5100341028.avi,"Expression: The student appears to be looking down and slightly away from the camera, with a neutral expression.
Posture: The student is sitting in front of a computer screen, leaning forward slightly.
Rating: 2",2,2
