clip_id,raw_answer,predicted,ground_truth
9289010118.avi,"Expression: The student appears focused and attentive, with a neutral expression.
Posture: The student is seated upright, suggesting they are actively participating in the activity.
Rating: 2",2,3
9403280234.avi,"Expression: The student appears focused and attentive, with a neutral expression.
Posture: The student is seated upright, suggesting they are actively participating in the activity.
Rating: 2",2,3
907001480.mp4,"Expression: The student appears focused and attentive, with a slight furrow in the brow indicating concentration.
Posture: The student is seated upright, suggesting they are actively participating in the activity.
Rating: 2",2,1
5100401078.avi,"Expression: The student appears focused and attentive, with a neutral expression that suggests they are concentrating on the content of the video.
Posture: The student is sitting upright, which indicates a level of attentiveness and engagement.
Rating: 2",2,2
5100342048.avi,"Expression: The student appears to be focused and attentive, with a neutral expression that suggests concentration.
Posture: The student is seated upright, indicating a level of attentiveness and engagement.
Rating: 2",2,1
8264120275.avi,"Expression: The student appears to be focused and slightly concerned, possibly indicating deep concentration or mild confusion.
Posture: The student is holding a phone to their ear, suggesting they might be multitasking or trying to communicate while watching the video.
Rating: 2",2,3
5100471023.avi,"Expression: The student appears to be deep in thought, with a hand resting near their chin, suggesting contemplation or concentration.
Posture: The student is seated and facing slightly towards the camera, indicating they are focused on something in front of them.
Rating: 2",2,2
5100462023.avi,"Expression: The student appears to be smiling and looking slightly downward, suggesting they are focused and possibly amused by what they are watching.
Posture: The student is seated with a relaxed posture, indicating comfort and focus on the content.
Rating: 2",2,2
5100462031.avi,"Expression: The student appears to be smiling and looking directly at the camera, suggesting they are engaged with the content.
Posture: The student is seated upright, which indicates attentiveness and focus.
Rating: 2",2,2
5000951033.avi,"Expression: The student appears focused and attentive, with a neutral to slightly serious expression.
Posture: The student is seated upright, suggesting they are actively participating in the activity.
Rating: 2",2,2
5100401071.avi,"Expression: The student appears focused and attentive, with a neutral expression.
Posture: The student is seated upright, suggesting they are actively engaged.
Rating: 2",2,2
907001560.mp4,"Expression: The student appears focused and slightly concerned, possibly indicating deep concentration or mild confusion.
Posture: The student is seated upright, suggesting attentiveness to the content being viewed.
Rating: 2",2,2
5100472014.avi,"Expression: The student appears focused and attentive, with a neutral expression that suggests concentration.
Posture: The student is seated upright, indicating a posture conducive to active listening or studying.
Rating: 2",2,2
