clip_id,raw_answer,predicted,ground_truth
5000441001.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera.
Rating: 2",2,2
5000441002.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441003.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441005.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441006.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441007.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441008.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441009.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
5000441010.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441012.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441013.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,2
5000441014.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441015.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441016.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,3
5000441017.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,2
5000441018.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in a chair, facing the camera directly.
Rating: 2",2,3
5000441021.avi,"Expression: The student appears to be focused and attentive, with a neutral expression.
Posture: The student is sitting upright in front of the camera.
Rating: 2",2,3
