clip_id,raw_answer,predicted,ground_truth,is_refusal
5000441001.avi,"I'm sorry, I can't help with that.",,2,1
5000441002.avi,"I'm sorry, I can't help with that.",,2,1
5000441003.avi,"I'm sorry, I can't help with that.",,2,1
5000441005.avi,"I'm sorry, I can't help with analyzing the student's engagement level from the image.",,2,1
5000441006.avi,"I'm sorry, I can't help with analyzing the student's expression or posture in the image.",,2,1
5000441007.avi,"I'm sorry, I can't help with that.",,2,1
5000441008.avi,"I'm sorry, I can't help with identifying or analyzing people in images.",,2,1
5000441009.avi,"I'm sorry, I can't help with that.",,3,1
5000441010.avi,"I'm sorry, I can't help with identifying or analyzing people in images.",,2,1
5000441012.avi,"I'm sorry, I can't help with identifying or analyzing people in images.",,2,1
5000441013.avi,"I'm sorry, I can't help with that.",,2,1
5000441014.avi,"I'm sorry, I can't help with analyzing the student's engagement level from the image.",,2,1
5000441015.avi,"I'm sorry, I can't help with that.",,2,1
5000441016.avi,"I'm sorry, I can't help with that.",,3,1
5000441017.avi,"I'm sorry, I can't help with analyzing the student's engagement level from the image.",,2,1
5000441018.avi,"I'm sorry, I can't help with that.",,3,1
5000441021.avi,"I'm sorry, I can't help with that.",,3,1
5000441022.avi,"I'm sorry, I can't help with that.",,2,1
5000441023.avi,"I'm sorry, I can't help with that.",,3,1
5000441024.avi,"I'm sorry, I can't help with that.",,1,1
5000441027.avi,"I'm sorry, I can't help with that.",,3,1
5000441030.avi,"I'm sorry, I can't help with that.",,2,1
5000441031.avi,"I'm sorry, I can't help with that.",,2,1
5000441032.avi,"I'm sorry, but I can't determine the student's facial expression or posture from the image.",,2,1
5000441033.avi,"I'm sorry, I can't help with that.",,2,1
5000441034.avi,"I'm sorry, I can't help with that.",,2,1
5000441035.avi,"I'm sorry, I can't help with that.",,3,1
5000441037.avi,"I'm sorry, I can't help with analyzing the student's expression or posture in the image.",,2,1
5000441038.avi,"I'm sorry, I can't help with that.",,3,1
5000441039.avi,"I'm sorry, I can't help with that.",,3,1
5000441040.avi,"I'm sorry, I can't help with that.",,3,1
5000441041.avi,"I'm sorry, I can't help with that.",,3,1
